what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288143628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470288156639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288156654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288160947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288161181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470288167017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288183599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288183677
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288183693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288200234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288217160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288225713
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470288229270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288231908
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1470288233359
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1470288233437
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1470288233484
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1470288233515
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1470288233577
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1470288233702
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1470288233921
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1470288234201
error,log,,,"Internal Error",1470288234248
error,log,,,"Problems encountered while deleting resources.",1470288234248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288236729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470288236775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288240551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288240582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288243749
closed,editor,,,"org.eclipse.ui.systemInPlaceEditor",1470288243749
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470288246057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288247244
error,log,,,"Internal Error",1470288248336
error,log,,,"Problems encountered while deleting resources.",1470288248352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288257836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470288257836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288261707
error,log,,,"Internal Error",1470288262900
error,log,,,"Problems encountered while deleting resources.",1470288262900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288276597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470288276613
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288281963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470288293634
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1470288303573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288309612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288309738
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470288309738
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1470288345533
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470288346578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1470288350229
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: StockAccounting",1470288350369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288360496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288374787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288378344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470288389342
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288393681
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470288434996
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1470288435105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288438740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288448006
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470288448006
closed,editor,,,"org.eclipse.ui.systemInPlaceEditor",1470288449051
