what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470145231586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1470145235657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470145237981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145251989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145252753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470145254157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145301609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145303013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470145304339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470145365644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470145384005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470145416437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470145440507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145444079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470145445218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470145449742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470145483094
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1470145485558
