what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1470230099062
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1470230099198
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1470230099210
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1470230099224
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1470230099269
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1470230099282
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1470230099380
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1470230099381
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1470230099821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230100087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230111092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230124978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230137248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230158107
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1470230162441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230162719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470230171637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230175788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230186557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230187742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230199073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230200669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230202143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230208649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230210829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230212598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230219784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230220980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230222742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230230690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230237216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230248973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230252163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230253793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470230393350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230424949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230430911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230438390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230446792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230456029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230466855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230473271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230492711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230521346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230530824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230539744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230545242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230558439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230567434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230575454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230576777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230581859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230591519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230600522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230609939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230611179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230616640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230628578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230635504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230646970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230648314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230653957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230663095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230663652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230672234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230679154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230689777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230691112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230696157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230706349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230713323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230725008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230726759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230731937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230745858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470230750882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230754833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230764969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230766451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230772180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230783439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230793633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230805001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230806092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230811036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230827375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230835273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230842855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230844224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470230849223
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470230891847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470230897877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470230909103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230948648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470230960900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470230966655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470230968513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470231010302
