what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470205435867
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470205435867
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470205435883
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470205435883
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470205435899
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470205435899
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1470205435914
os,sysinfo,,,"win32",1470205435914
arch,sysinfo,,,"x86_64",1470205435914
ws,sysinfo,,,"win32",1470205435914
locale,sysinfo,,,"en_US",1470205435914
processors,sysinfo,,,"2",1470205435914
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470205435914
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1470205435914
java.specification.name,sysinfo,,,"Java Platform API Specification",1470205435914
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470205435914
java.specification.version,sysinfo,,,"1.7",1470205435914
java.vendor,sysinfo,,,"Oracle Corporation",1470205435914
java.version,sysinfo,,,"1.7.0_79",1470205435914
java.vm.info,sysinfo,,,"mixed mode",1470205435914
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470205435914
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470205435914
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470205435914
java.vm.specification.version,sysinfo,,,"1.7",1470205435914
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470205435914
java.vm.version,sysinfo,,,"24.79-b02",1470205435914
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1470205437708
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1470205441780
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1470205441795
